UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
934,L48113,L,295.5,306.0,1597.0,37.2,16.0,0,No Failure
9159,H38572,H,297.4,308.4,1487.0,46.2,150.0,0,No Failure
4458,M19317,M,302.5,310.3,1710.0,27.3,186.0,0,No Failure
991,L48170,L,296.2,307.0,1414.0,48.3,162.0,0,No Failure
1666,H31079,H,298.2,307.9,1491.0,39.7,181.0,0,No Failure
2483,L49662,L,298.9,308.7,1504.0,41.8,165.0,1,Heat Dissipation Failure
901,L48080,L,295.6,306.2,1569.0,35.1,140.0,0,No Failure
7396,M22255,M,299.7,310.6,1572.0,38.0,139.0,0,No Failure
580,M15439,M,297.8,309.7,1700.0,31.3,200.0,1,Failure
9444,H38857,H,298.0,308.8,1411.0,53.8,73.0,0,No Failure
2813,M17672,M,300.0,309.3,1413.0,40.7,117.0,1,Power Failure
9344,M24203,M,298.3,308.8,1391.0,50.4,13.0,0,No Failure
6762,L53941,L,301.5,310.9,1400.0,50.8,2.0,1,Failure
8600,L55779,L,297.6,308.4,1460.0,40.3,195.0,0,No Failure
1480,L48659,L,298.2,309.3,1355.0,43.8,142.0,0,No Failure
8638,L55817,L,297.5,308.5,1459.0,39.7,69.0,0,No Failure
5688,L52867,L,302.3,311.7,2170.0,18.2,91.0,0,No Failure
8718,L55897,L,297.1,308.7,1474.0,42.3,64.0,0,No Failure
7221,L54400,L,299.8,309.7,1429.0,42.6,127.0,0,No Failure
5194,H34607,H,304.0,313.1,1408.0,39.8,132.0,1,Heat Dissipation Failure
1505,L48684,L,298.0,308.7,1506.0,47.0,208.0,1,Failure
249,L47428,L,298.0,308.3,1362.0,56.8,216.0,0,No Failure
9325,L56504,L,298.6,309.3,1537.0,37.6,175.0,0,No Failure
5192,L52371,L,304.0,313.2,1416.0,46.0,128.0,0,No Failure
3012,M17871,M,300.2,309.5,1434.0,51.5,189.0,0,No Failure
2122,M16981,M,299.2,308.8,1503.0,37.4,109.0,0,No Failure
2789,L49968,L,300.3,309.6,1326.0,52.4,57.0,0,No Failure
2386,L49565,L,299.1,308.3,1524.0,34.1,128.0,0,No Failure
3934,L51113,L,302.6,311.6,1576.0,34.7,182.0,1,Failure
414,L47593,L,297.4,308.4,1573.0,34.5,205.0,0,No Failure
978,L48157,L,296.0,306.7,1917.0,21.0,127.0,1,Failure
8937,L56116,L,297.4,308.3,1465.0,42.0,13.0,0,No Failure
8055,L55234,L,300.4,311.8,1405.0,47.9,58.0,0,No Failure
8570,L55749,L,297.9,308.6,1757.0,27.5,118.0,0,No Failure
3451,L50630,L,301.6,310.6,1506.0,43.4,222.0,0,No Failure
127,L47306,L,299.0,308.6,1329.0,60.5,120.0,0,No Failure
1828,M16687,M,297.9,307.3,1420.0,47.8,171.0,1,Failure
1595,M16454,M,298.0,308.2,1373.0,51.2,215.0,0,No Failure
2848,L50027,L,300.4,309.3,1525.0,39.6,202.0,0,No Failure
3259,L50438,L,301.2,309.9,1643.0,32.9,171.0,1,Failure
4159,L51338,L,301.9,310.4,1889.0,21.5,92.0,1,Failure
4358,L51537,L,302.0,309.9,1407.0,52.8,154.0,0,No Failure
3601,L50780,L,301.7,310.5,1523.0,34.7,181.0,0,No Failure
6746,M21605,M,301.8,311.1,1395.0,44.6,171.0,0,No Failure
9096,L56275,L,297.3,308.1,1458.0,45.7,202.0,0,No Failure
8915,M23774,M,297.3,308.5,1524.0,49.3,176.0,0,No Failure
8557,L55736,L,298.2,309.0,1489.0,40.6,89.0,0,No Failure
1584,L48763,L,298.2,308.4,1310.0,61.0,189.0,0,No Failure
8518,M23377,M,298.3,309.6,1469.0,54.8,191.0,0,No Failure
3,L47182,L,298.1,308.5,1498.0,49.4,5.0,1,Failure
2596,M17455,M,298.8,308.6,1486.0,41.1,13.0,0,No Failure
6518,L53697,L,301.1,310.1,1540.0,36.6,28.0,1,Failure
3204,M18063,M,300.1,309.1,1533.0,38.0,26.0,0,No Failure
7892,L55071,L,300.8,312.5,1517.0,39.2,107.0,1,Failure
8809,L55988,L,297.4,308.6,1446.0,48.1,88.0,0,No Failure
1506,L48685,L,298.0,308.7,1626.0,36.7,210.0,0,No Failure
6066,L53245,L,301.0,310.9,1568.0,38.2,172.0,0,No Failure
799,M15658,M,296.9,307.8,1828.0,24.6,91.0,0,No Failure
2128,H31541,H,299.3,309.0,1425.0,40.6,123.0,0,No Failure
7801,M22660,M,300.1,311.4,1524.0,40.6,98.0,0,No Failure
426,M15285,M,297.3,308.4,1665.0,28.9,17.0,0,No Failure
5676,M20535,M,302.3,311.7,1453.0,42.5,56.0,0,No Failure
